Date,
8/17/23 23:59,267.5419081
8/18/23 23:59,263.2737951
8/19/23 23:59,259.2734983
8/20/23 23:59,255.2732015
8/21/23 23:59,251.4124387
8/22/23 23:59,247.5516758
8/23/23 23:59,243.5470651
8/24/23 23:59,239.5424545
8/25/23 23:59,235.7835959
8/26/23 23:59,232.0247373
8/27/23 23:59,228.4472876
8/28/23 23:59,224.8698379
8/29/23 23:59,221.1515737
8/30/23 23:59,217.4333095
8/31/23 23:59,213.8479345
9/1/23 23:59,210.2625595
9/2/23 23:59,206.6110749
9/3/23 23:59,202.9595902
9/4/23 23:59,199.3019794
9/5/23 23:59,195.6443686
9/6/23 23:59,192.4422835
9/7/23 23:59,189.2401984
9/8/23 23:59,185.9400502
9/9/23 23:59,182.6399021
9/10/23 23:59,179.4765668
9/11/23 23:59,182.1469618
9/12/23 23:59,184.8173569
9/13/23 23:59,187.4665461
9/14/23 23:59,190.1157352
9/15/23 23:59,192.8477518
9/16/23 23:59,195.5797684
9/17/23 23:59,198.3401958
9/18/23 23:59,201.1006231
9/19/23 23:59,203.8503489
9/20/23 23:59,206.6000747
9/21/23 23:59,209.3788903
9/22/23 23:59,212.157706
9/23/23 23:59,214.98757
9/24/23 23:59,217.817434
9/25/23 23:59,220.6280562
9/26/23 23:59,223.4386785
9/27/23 23:59,226.2950992
9/28/23 23:59,229.1515199
9/29/23 23:59,232.045144
9/30/23 23:59,234.9387681
10/1/23 23:59,237.8274727
10/2/23 23:59,240.7161774
10/3/23 23:59,243.5782564
10/4/23 23:59,246.4403354
10/5/23 23:59,249.2346437
10/6/23 23:59,252.0289519
10/7/23 23:59,254.8499729
10/8/23 23:59,257.6709939
10/9/23 23:59,260.5224401
10/10/23 23:59,263.3738863
10/11/23 23:59,266.2179029
10/12/23 23:59,269.0619195
10/13/23 23:59,271.8949271
10/14/23 23:59,274.7279347
10/15/23 23:59,277.5713502
10/16/23 23:59,280.4147656
10/17/23 23:59,284.0581551
10/18/23 23:59,287.7015445
10/19/23 23:59,291.2606013
10/20/23 23:59,294.8196581
10/21/23 23:59,298.9022548
10/22/23 23:59,302.9848514
10/23/23 23:59,306.7384604
10/24/23 23:59,310.4920693
10/25/23 23:59,313.8082148
10/26/23 23:59,317.1243603
10/27/23 23:59,320.2024039
10/28/23 23:59,323.2804475
10/29/23 23:59,326.0630491
10/30/23 23:59,328.8456507
10/31/23 23:59,331.8018554
11/1/23 23:59,334.7580601
11/2/23 23:59,337.6369901
11/3/23 23:59,340.5159201
11/4/23 23:59,343.4482801
11/5/23 23:59,346.3806402
11/6/23 23:59,349.290716
11/7/23 23:59,352.2007918
11/8/23 23:59,355.0763535
11/9/23 23:59,357.9519151
11/10/23 23:59,360.823755
11/11/23 23:59,363.6955949
11/12/23 23:59,366.649652
11/13/23 23:59,369.6037091
11/14/23 23:59,372.8838353
11/15/23 23:59,376.1639614
11/16/23 23:59,379.4588138
11/17/23 23:59,382.7536661
11/18/23 23:59,385.9832624
11/19/23 23:59,389.2128587
11/20/23 23:59,392.3232963
11/21/23 23:59,395.4337339
11/22/23 23:59,398.6050679
11/23/23 23:59,401.7764019
11/24/23 23:59,405.0524209
11/25/23 23:59,408.3284399
11/26/23 23:59,411.7003651
11/27/23 23:59,415.0722903
