Date,BNB
7/5/23 23:59,647.7590105
7/6/23 23:59,648.0594627
7/7/23 23:59,648.3596424
7/8/23 23:59,648.6595503
7/9/23 23:59,648.9591872
7/10/23 23:59,649.2585537
7/11/23 23:59,649.5576506
7/12/23 23:59,649.8564787
7/13/23 23:59,650.1550386
7/14/23 23:59,650.4533311
7/15/23 23:59,650.7513569
7/16/23 23:59,651.0491166
7/17/23 23:59,651.3466112
7/18/23 23:59,651.6438411
7/19/23 23:59,651.9408072
7/20/23 23:59,652.2375101
7/21/23 23:59,652.5339505
7/22/23 23:59,652.8301291
7/23/23 23:59,653.1260467
7/24/23 23:59,653.4217039
7/25/23 23:59,653.7171014
7/26/23 23:59,654.0122398
7/27/23 23:59,654.30712
7/28/23 23:59,654.6017424
7/29/23 23:59,654.8961079
7/30/23 23:59,655.190217
7/31/23 23:59,655.4840705
8/1/23 23:59,655.777669
8/2/23 23:59,656.0710132
8/3/23 23:59,656.3641037
8/4/23 23:59,656.6569412
8/5/23 23:59,656.9495263
8/6/23 23:59,657.2418598
8/7/23 23:59,657.5339422
8/8/23 23:59,657.8257742
8/9/23 23:59,658.1173564
8/10/23 23:59,658.4086895
8/11/23 23:59,658.6997742
8/12/23 23:59,658.9906109
8/13/23 23:59,659.2812005
8/14/23 23:59,659.5715435
8/15/23 23:59,659.8616404
8/16/23 23:59,660.1514921
8/17/23 23:59,660.441099
8/18/23 23:59,660.7304619
8/19/23 23:59,661.0195813
8/20/23 23:59,661.3084577
8/21/23 23:59,661.597092
8/22/23 23:59,661.8854846
8/23/23 23:59,662.1736361
8/24/23 23:59,662.4615472
8/25/23 23:59,662.7492184
8/26/23 23:59,663.0366505
8/27/23 23:59,663.3238438
8/28/23 23:59,663.6107991
8/29/23 23:59,663.897517
8/30/23 23:59,664.183998
8/31/23 23:59,664.4702427
9/1/23 23:59,664.7562517
9/2/23 23:59,665.0420256
9/3/23 23:59,665.3275649
9/4/23 23:59,665.6128703
9/5/23 23:59,665.8979422
9/6/23 23:59,666.1827814
9/7/23 23:59,666.4673883
9/8/23 23:59,666.7517635
9/9/23 23:59,667.0359076
9/10/23 23:59,667.3198212
9/11/23 23:59,667.6035047
9/12/23 23:59,667.8869588
9/13/23 23:59,668.1701841
9/14/23 23:59,668.453181
9/15/23 23:59,668.7359501
9/16/23 23:59,669.018492
9/17/23 23:59,669.3008072
9/18/23 23:59,669.5828963
9/19/23 23:59,669.8647598
9/20/23 23:59,670.1463982
9/21/23 23:59,670.4278122
9/22/23 23:59,670.7090021
9/23/23 23:59,670.9899686
9/24/23 23:59,671.2707122
9/25/23 23:59,671.5512334
9/26/23 23:59,671.8315327
9/27/23 23:59,672.1116108
9/28/23 23:59,672.391468
9/29/23 23:59,672.6711049
9/30/23 23:59,672.9505221
10/1/23 23:59,673.22972
10/2/23 23:59,673.5086992
10/3/23 23:59,673.7874601
10/4/23 23:59,674.0660034
10/5/23 23:59,674.3443294
10/6/23 23:59,674.6224388
10/7/23 23:59,674.9003319
10/8/23 23:59,675.1780094
10/9/23 23:59,675.4554717
10/10/23 23:59,675.7327194
10/11/23 23:59,676.0097528
10/12/23 23:59,676.2865726
10/13/23 23:59,676.5631791
10/14/23 23:59,676.839573
10/15/23 23:59,677.1157546
10/16/23 23:59,677.3917245
10/17/23 23:59,677.6674832
10/18/23 23:59,677.9430311
10/19/23 23:59,678.2183688
10/20/23 23:59,678.4934966
10/21/23 23:59,678.7684151
10/22/23 23:59,679.0431249
10/23/23 23:59,679.3176262
10/24/23 23:59,679.5919197
10/25/23 23:59,679.8660057
10/26/23 23:59,680.1398848
10/27/23 23:59,680.4135574
