,x,,,,
343,0.00014989,,2.99E+03,,2.99E+02
344,5977.234024,,2.99E+03,,2.99E+02
345,0.000150257,,2.98E+03,,2.98E+02
346,5955.344369,,2.98E+03,,2.98E+02
347,0.00014938,,2.95E+03,,2.95E+02
348,5896.283395,,2.95E+03,,2.95E+02
349,0.00014928,,2.96E+03,,2.96E+02
350,5926.864666,,2.96E+03,,2.96E+02
351,0.000150301,,2.99E+03,,2.99E+02
352,5971.80986,,2.99E+03,,2.99E+02
353,0.00014987,,2.99E+03,,2.99E+02
354,5989.872097,,2.99E+03,,2.99E+02
355,0.00015155,,3.00E+03,,3.00E+02
356,5998.068299,,3.00E+03,,3.00E+02
357,0.000150346,,3.00E+03,,3.00E+02
358,5998.279244,,3.00E+03,,3.00E+02
359,0.000151527,,3.04E+03,,3.04E+02
360,6080.679788,,3.04E+03,,3.04E+02
361,0.000153689,,3.05E+03,,3.05E+02
362,6098.806577,,3.05E+03,,3.05E+02
363,0.000161466,,3.41E+03,,3.41E+02
364,6814.714094,,3.41E+03,,3.41E+02
365,0.000182462,,1.82E-04,,1.82E-05
