Date,Bitcoin_Value Prediction ($)
11/22/23 23:59,84476.10866
11/23/23 23:59,84552.00534
11/24/23 23:59,84627.97504
11/25/23 23:59,84704.0179
11/26/23 23:59,84780.13406
11/27/23 23:59,84856.32364
11/28/23 23:59,84932.58678
11/29/23 23:59,85008.92361
11/30/23 23:59,85085.33427
12/1/23 23:59,85161.81889
12/2/23 23:59,85238.3776
12/3/23 23:59,85315.01054
12/4/23 23:59,85391.71784
12/5/23 23:59,85468.49963
12/6/23 23:59,85545.35605
12/7/23 23:59,85622.28723
12/8/23 23:59,85699.2933
12/9/23 23:59,85776.37441
12/10/23 23:59,85853.53067
12/11/23 23:59,85930.76224
12/12/23 23:59,86008.06923
12/13/23 23:59,86085.45179
12/14/23 23:59,86162.91004
12/15/23 23:59,86240.44413
12/16/23 23:59,86318.05418
12/17/23 23:59,86395.74033
12/18/23 23:59,86473.50272
12/19/23 23:59,86551.34147
12/20/23 23:59,86629.25672
12/21/23 23:59,86707.24862
12/22/23 23:59,86785.31728
12/23/23 23:59,86863.46285
12/24/23 23:59,86941.68545
12/25/23 23:59,87019.98523
12/26/23 23:59,87098.36232
12/27/23 23:59,87176.81685
12/28/23 23:59,87255.34896
12/29/23 23:59,87333.95878
12/30/23 23:59,87412.64645
12/31/23 23:59,87491.41209
