Date,Bitcoin_Value Prediction_NN ($)
3/9/23 23:59,129715.477
3/10/23 23:59,130411.35
3/11/23 23:59,128607.5278
3/12/23 23:59,127941.7128
3/13/23 23:59,128463.4417
3/14/23 23:59,127088.1331
3/15/23 23:59,127962.5721
3/16/23 23:59,129500.2072
3/17/23 23:59,129358.778
3/18/23 23:59,127765.0427
3/19/23 23:59,127777.645
3/20/23 23:59,127147.7999
3/21/23 23:59,126416.1634
3/22/23 23:59,128310.8296
3/23/23 23:59,128797.046
3/24/23 23:59,128146.6408
3/25/23 23:59,127470.9971
3/26/23 23:59,127933.8698
3/27/23 23:59,127544.569
3/28/23 23:59,124794.7188
3/29/23 23:59,123648.9539
3/30/23 23:59,122612.5578
3/31/23 23:59,122322.5993
4/1/23 23:59,120177.1357
4/2/23 23:59,120357.6617
4/3/23 23:59,117821.0729
4/4/23 23:59,118077.6535
4/5/23 23:59,121482.9865
4/6/23 23:59,120980.4839
4/7/23 23:59,120204.5322
4/8/23 23:59,120830.2475
4/9/23 23:59,120417.1756
4/10/23 23:59,120037.868
4/11/23 23:59,120670.9809
4/12/23 23:59,121759.8945
4/13/23 23:59,120922.2805
4/14/23 23:59,121460.0107
4/15/23 23:59,119231.9065
4/16/23 23:59,117336.0964
4/17/23 23:59,113449.0043
4/18/23 23:59,107024.0808
4/19/23 23:59,103118.5558
4/20/23 23:59,103673.5607
4/21/23 23:59,103009.9691
4/22/23 23:59,96894.9286
4/23/23 23:59,96676.63693
4/24/23 23:59,101188.1194
4/25/23 23:59,106771.038
4/26/23 23:59,104775.8804
4/27/23 23:59,103188.4371
4/28/23 23:59,103486.4926
4/29/23 23:59,103426.8765
4/30/23 23:59,104204.8757
5/1/23 23:59,105830.6115
5/2/23 23:59,105135.1142
5/3/23 23:59,104219.8743
5/4/23 23:59,103674.5858
5/5/23 23:59,100860.6978
5/6/23 23:59,98190.12105
5/7/23 23:59,97787.74107
5/8/23 23:59,98454.03431
5/9/23 23:59,99710.49642
5/10/23 23:59,99758.27555
5/11/23 23:59,99687.70334
5/12/23 23:59,99426.25728
5/13/23 23:59,98629.2677
5/14/23 23:59,97188.20605
5/15/23 23:59,98712.78282
5/16/23 23:59,98271.61825
5/17/23 23:59,97741.04892
5/18/23 23:59,98170.04788
5/19/23 23:59,97948.52435
5/20/23 23:59,97872.57955
5/21/23 23:59,96383.16814
5/22/23 23:59,94660.86819
5/23/23 23:59,89251.45362
5/24/23 23:59,83216.96661
5/25/23 23:59,83392.67223
5/26/23 23:59,82785.15606
5/27/23 23:59,82561.13431
5/28/23 23:59,86036.48751
5/29/23 23:59,88039.48559
5/30/23 23:59,85338.75212
5/31/23 23:59,83399.4953
6/1/23 23:59,82422.27858
6/2/23 23:59,79347.72331
6/3/23 23:59,77909.3058
6/4/23 23:59,78319.30403
6/5/23 23:59,79075.84473
6/6/23 23:59,77698.0737
6/7/23 23:59,75380.47334
6/8/23 23:59,70840.85527
6/9/23 23:59,64818.92871
6/10/23 23:59,66607.56008
6/11/23 23:59,67852.48827
6/12/23 23:59,70114.70635
6/13/23 23:59,74982.78058
6/14/23 23:59,74702.16299
6/15/23 23:59,74192.57755
6/16/23 23:59,75350.14126
6/17/23 23:59,78494.677
6/18/23 23:59,82544.17325
6/19/23 23:59,81032.92354
6/20/23 23:59,79131.51606
6/21/23 23:59,77798.26088
6/22/23 23:59,79506.95581
6/23/23 23:59,80054.25412
6/24/23 23:59,78827.81436
6/25/23 23:59,79441.97856
6/26/23 23:59,79231.23717
6/27/23 23:59,76067.66636
6/28/23 23:59,73583.61454
6/29/23 23:59,72182.65847
6/30/23 23:59,72066.26788
7/1/23 23:59,72590.62011
7/2/23 23:59,73169.48917
7/3/23 23:59,71146.77284
7/4/23 23:59,70139.40881
7/5/23 23:59,70401.57159
7/6/23 23:59,67994.94023
7/7/23 23:59,66690.06175
7/8/23 23:59,67667.71908
7/9/23 23:59,67287.15636
7/10/23 23:59,69221.94041
7/11/23 23:59,70922.94682
7/12/23 23:59,71298.61194
7/13/23 23:59,70701.91171
7/14/23 23:59,72508.39102
7/15/23 23:59,75170.8106
7/16/23 23:59,75517.10609
7/17/23 23:59,81932.5534
7/18/23 23:59,88116.34554
7/19/23 23:59,82639.13217
7/20/23 23:59,79667.1888
7/21/23 23:59,78824.11712
7/22/23 23:59,80861.89994
7/23/23 23:59,78393.58946
7/24/23 23:59,77867.37649
7/25/23 23:59,75899.54303
7/26/23 23:59,71978.90098
7/27/23 23:59,73323.14003
7/28/23 23:59,74345.54151
7/29/23 23:59,77502.92071
7/30/23 23:59,78892.6544
